WATER_SYSTEM_NUMBER,SYSTEM_NAME,COUNTY,LATITUDE_MEASURE,LONGITUDE_MEASURE,FINAL_SAFER_STATUS,SERVICE_CONNECTIONS,POPULATION,OWNER_TYPE,FEDERAL_CLASSIFICATION_TYPE,CALENVIRO_SCREEN_SCORE,MHI,SERVICE_AREA_ECONOMIC_STATUS
CA3700924,LAKE MORENA VIEWS MWC,SAN DIEGO,32.680107,-116.502721,Failing,130,360,PRIVATE,COMMUNITY,32.3398045078397,46538,SDAC
CA3700933,PALOMAR MOUNTAIN MUTUAL WATER CO.,SAN DIEGO,33.362396,-116.877674,At-Risk,195,193,PRIVATE,COMMUNITY,15.7137792569062,56842,SDAC
CA3700934,PAUMA VALLEY WATER COMPANY,SAN DIEGO,33.360701,-117.025178,Failing,74,185,PRIVATE,COMMUNITY,22.4405485563709,75938,DAC
CA3700936,RANCHO ESTATES MUTUAL WATER CO.,SAN DIEGO,33.343589,-116.997544,Not At-Risk,92,200,PRIVATE,COMMUNITY,23.8943544984174,88880,Non-DAC
CA3700937,LAZY H MUTUAL WATER COMPANY,SAN DIEGO,33.290811,-116.969755,Not At-Risk,43,142,LOCAL,COMMUNITY,16.777146280567,100069,Non-DAC
CA3700938,YUIMA MUNICIPAL WATER DISTRICT IDA,SAN DIEGO,33.307584,-116.937994,Not At-Risk,210,769,PRIVATE,COMMUNITY,23.1530778804437,83438,Non-DAC
CA3700958,LOS TULES MUTUAL WATER COMPANY,SAN DIEGO,33.281938,-116.624193,Not At-Risk,116,238,PRIVATE,COMMUNITY,15.7137792569062,53311,SDAC
CA3700962,OAKVALE PARK,SAN DIEGO,33.166323,-116.994912,Failing,88,260,PRIVATE,COMMUNITY,17.5093135724578,94595,Non-DAC
CA3700963,POTRERO ELEMENTARY SCHOOL,SAN DIEGO,32.610548,-116.612728,At-Risk,19,300,LOCAL,NON-TRANSIENT NON-COMMUNITY,32.3398045078397,21319,SDAC
CA3700968,SAN PASQUAL ACADEMY,SAN DIEGO,33.084959,-116.949636,Not At-Risk,64,298,LOCAL,COMMUNITY,10.2541539041611,102969,Non-DAC
CA3701005,SPENCER VALLEY SCHOOL DISTRICT,SAN DIEGO,33.096836,-116.645303,Potentially At-Risk,8,40,LOCAL,NON-TRANSIENT NON-COMMUNITY,14.6275846731711,60936,DAC
CA3701010,WARNER UNIFIED SCHOOL DISTRICT,SAN DIEGO,33.273917,-116.642201,Failing,15,250,LOCAL,NON-TRANSIENT NON-COMMUNITY,15.7137792569062,53311,SDAC
CA3701184,BUTTERFIELD RANCH,SAN DIEGO,32.977955,-116.436991,Failing,308,353,PRIVATE,COMMUNITY,18.2351355899109,39205,SDAC
CA3701341,QUIET OAKS MOBILE HOME PARK,SAN DIEGO,33.363372,-116.756833,At-Risk,45,120,PRIVATE,COMMUNITY,15.7137792569062,53311,SDAC
CA3701408,YUIMA MUNICIPAL WATER DISTRICT,SAN DIEGO,33.319709,-117.013942,Not At-Risk,109,360,LOCAL,COMMUNITY,23.1940992738271,75938,DAC
CA3701476,INDIAN HILLS CAMP,SAN DIEGO,32.718043,-116.812491,Failing,36,13032,PRIVATE,COMMUNITY,10.80311709413,133681,Non-DAC
CA3701747,NORTH PEAK MUTUAL WATER COMPANY,SAN DIEGO,33.011583,-116.618623,Not At-Risk,90,298,PRIVATE,COMMUNITY,12.866537916013,64176,DAC
CA3701780,RICHARDSON BEARDSLEY PARK INC.,SAN DIEGO,33.054011,-116.603718,Not At-Risk,21,28,PRIVATE,COMMUNITY,13.5760247879245,68317,DAC
CA3701793,TWIN LAKES RESORT,SAN DIEGO,32.624367,-116.610328,Failing,153,400,PRIVATE,COMMUNITY,32.3398045078397,21319,SDAC
CA3701837,WYNOLA WATER DISTRICT,SAN DIEGO,33.09945,-116.655915,Failing,74,140,PRIVATE,COMMUNITY,13.5760247879245,68317,DAC
CA3701934,PINE VALLEY BIBLE CONFERENCE CENTER,SAN DIEGO,32.842485,-116.530572,Potentially At-Risk,58,255,PRIVATE,COMMUNITY,10.1707092147918,70863,DAC
CA3701961,PINE VALLEY TRAILER PARK,SAN DIEGO,32.847571,-116.556182,Failing,92,200,PRIVATE,COMMUNITY,6.03879393777802,58032,DAC
CA3701982,PALOMAR CHRISTIAN CONFERENCE CENTER,SAN DIEGO,33.345832,-116.911111,At-Risk,22,13050,PRIVATE,COMMUNITY,15.7137792569062,56842,SDAC
CA3701988,ALPINE OAKS ESTATES LLC,SAN DIEGO,32.83234,-116.739071,At-Risk,68,185,PRIVATE,COMMUNITY,6.05525891280359,100870,Non-DAC
CA3701995,WILLOWSIDE TERRACE WATER ASSOCIATION,SAN DIEGO,32.83635,-116.721846,Failing,32,100,PRIVATE,COMMUNITY,4.26507045316009,92431,Non-DAC
CA3702104,MHC TT INC. (DBA PIO PICO),SAN DIEGO,32.651978,-116.854826,Not At-Risk,505,828,PRIVATE,COMMUNITY,13.8010820302406,133921,Non-DAC
CA3702236,PALOMAR OBSERVATORY,SAN DIEGO,33.358959,-116.866149,At-Risk,26,4416,STATE GOVERNMENT,COMMUNITY,15.7137792569062,56842,SDAC
CA3702354,WARNER SPRINGS ESTATES,SAN DIEGO,33.346479,-116.723582,At-Risk,303,448,PRIVATE,COMMUNITY,15.7137792569062,53311,SDAC
CA3702364,CLOVER FLAT ELEMENTARY SCHOOL,SAN DIEGO,32.667916,-116.295513,Not At-Risk,5,160,LOCAL,NON-TRANSIENT NON-COMMUNITY,32.3398045078397,65553,DAC
CA3710001,CAL-AM WATER CORONADO,SAN DIEGO,32.581824,-117.11606,Not Assessed,21749,106000,PRIVATE,COMMUNITY,23.3610024920563,96018,Non-DAC
CA3710002,VALLECITOS WD,SAN DIEGO,33.13386,-117.175333,Not Assessed,22501,113500,LOCAL,COMMUNITY,14.4855300500346,104165,Non-DAC
CA3710004,"DEL MAR, CITY OF",SAN DIEGO,32.963494,-117.262474,Not At-Risk,1869,3919,LOCAL,COMMUNITY,5.36740435037841,171895,Non-DAC
CA3710005,CARLSBAD MWD,SAN DIEGO,33.133213,-117.292606,Not At-Risk,28260,95158,LOCAL,COMMUNITY,10.9689948983848,124654,Non-DAC
CA3710006,"ESCONDIDO, CITY OF",SAN DIEGO,33.130546,-117.057063,Not Assessed,27476,137044,LOCAL,COMMUNITY,16.7255194563885,81000,Non-DAC
CA3710008,FALLBROOK PUD,SAN DIEGO,33.380706000000004,-117.23278,Not At-Risk,9205,35237,LOCAL,COMMUNITY,15.3357014617111,80222,Non-DAC
CA3710009,DESCANSO COMMUNITY WATER DISTRICT,SAN DIEGO,32.859054,-116.617608,Failing,315,870,LOCAL,COMMUNITY,6.18306651335214,83439,Non-DAC
CA3710010,HELIX WATER DISTRICT,SAN DIEGO,32.783429,-116.970575,Not Assessed,56781,277668,LOCAL,COMMUNITY,22.4497864980887,84531,Non-DAC
CA3710011,JACUMBA COMMUNITY SD,SAN DIEGO,32.617962,-116.189421,Not At-Risk,245,561,PRIVATE,COMMUNITY,32.3398045078397,43544,SDAC
CA3710012,RANCHO PAUMA MUTUAL WC,SAN DIEGO,33.302716,-116.990027,Not At-Risk,387,899,PRIVATE,COMMUNITY,16.777146280567,107569,Non-DAC
CA3710013,LAKESIDE WD,SAN DIEGO,32.89645,-116.904983,Not At-Risk,7062,35500,PRIVATE,COMMUNITY,19.2114782211279,94099,Non-DAC
CA3710014,"OCEANSIDE, CITY OF",SAN DIEGO,33.224674,-117.308355,Not Assessed,44629,171483,LOCAL,COMMUNITY,17.9651245888979,90051,Non-DAC
CA3710015,"POWAY, CITY OF",SAN DIEGO,32.936423,-117.03261,Not At-Risk,14202,49888,LOCAL,COMMUNITY,9.83960755321743,136314,Non-DAC
CA3710016,RAINBOW MUNICIPAL WD,SAN DIEGO,33.287177,-117.210373,Not At-Risk,8923,23536,LOCAL,COMMUNITY,15.2246335132342,90155,Non-DAC
CA3710018,RINCON DEL DIABLO MWD (ID-1),SAN DIEGO,33.099185,-117.113791,Not At-Risk,7430,30757,LOCAL,COMMUNITY,15.2125652677168,95559,Non-DAC
CA3710019,RAMONA MUNICIPAL WD,SAN DIEGO,33.021405,-116.891347,Not At-Risk,9453,37047,LOCAL,COMMUNITY,9.35595922813697,99900,Non-DAC
CA3710020,"SAN DIEGO, CITY OF",SAN DIEGO,32.835574,-117.125576,Not Assessed,282783,1385379,LOCAL,COMMUNITY,17.7695911640229,102974,Non-DAC
CA3710021,SAN DIEGUITO WD,SAN DIEGO,33.044571,-117.283691,Not At-Risk,12154,40405,LOCAL,COMMUNITY,10.6574849383469,131759,Non-DAC
CA3710023,SANTA FE I.D.,SAN DIEGO,33.012171,-117.220325,Not At-Risk,6503,21578,LOCAL,COMMUNITY,6.25812291178352,195322,Non-DAC
CA3710025,SWEETWATER AUTHORITY,SAN DIEGO,32.646906,-117.094793,Not Assessed,33614,191282,LOCAL,COMMUNITY,31.3158323887769,76118,DAC
CA3710026,VALLEY CENTER MWD,SAN DIEGO,33.246082,-117.054766,Not At-Risk,9737,29938,LOCAL,COMMUNITY,13.0885219935557,108104,Non-DAC
CA3710027,VISTA IRRIGATION DISTRICT,SAN DIEGO,33.19204,-117.225931,Not Assessed,27798,132430,LOCAL,COMMUNITY,17.0720837815803,88761,Non-DAC
CA3710029,OLIVENHAIN MWD,SAN DIEGO,33.053044,-117.13892,Not At-Risk,22791,86458,LOCAL,COMMUNITY,10.0412462099278,156304,Non-DAC
CA3710034,OTAY WATER DISTRICT,SAN DIEGO,32.676191,-116.842089,Not Assessed,50807,238008,LOCAL,COMMUNITY,14.920240884695,109642,Non-DAC
CA3710036,BORREGO WD,SAN DIEGO,33.270333,-116.356256,Not At-Risk,2051,3429,LOCAL,COMMUNITY,18.2351355899109,76336,DAC
CA3710037,PADRE DAM MWD,SAN DIEGO,32.832851,-116.82275,Not At-Risk,23354,93859,LOCAL,COMMUNITY,11.4061408484954,101220,Non-DAC
CA3710039,PINE VALLEY MUTUAL WC,SAN DIEGO,32.829121,-116.527875,Potentially At-Risk,721,2645,PRIVATE,COMMUNITY,10.1707092147918,92850,Non-DAC
CA3710041,MAJESTIC PINES COMMUNITY SD,SAN DIEGO,33.06813,-116.576991,Not At-Risk,706,1768,LOCAL,COMMUNITY,13.8300083734952,67679,DAC
CA3710042,SAN DIEGO COUNTY WATER AUTHORITY,SAN DIEGO,32.822269,-117.040152,Not Assessed,90,0,LOCAL,COMMUNITY,15.9734693123435,100886,Non-DAC
CA3710044,RINCON DEL DIABLO MWD (ID-A),SAN DIEGO,33.082627,-117.03905,Not At-Risk,1178,3275,LOCAL,COMMUNITY,9.8450396867364791,82590,Non-DAC
CA3710045,CARLSBAD DESALINATION PLANT,SAN DIEGO,33.138562,-117.334712,Not Assessed,1,0,PRIVATE,COMMUNITY,11.2847736994828,115158,Non-DAC
CA3710047,CAMPO HILLS-COUNTY PUBLIC WORKS WASTEWTR,SAN DIEGO,32.612088,-116.466674,Potentially At-Risk,222,500,LOCAL,COMMUNITY,32.3398045078397,32036,SDAC
CA3710700,CAMP PENDLETON (NORTH),SAN DIEGO,33.406457,-117.477931,Not At-Risk,1530,12651,FEDERAL GOVERNMENT,COMMUNITY,24.9054984042262,54319,SDAC
CA3710702,CAMP PENDLETON (SOUTH),SAN DIEGO,33.295816,-117.42372,Not At-Risk,8052,42219,FEDERAL GOVERNMENT,COMMUNITY,24.9388653130356,52912,SDAC
CA3710750,NAS NORTH ISLAND & NAB CORONADO,SAN DIEGO,32.699553,-117.206016,Not At-Risk,1415,36990,FEDERAL GOVERNMENT,COMMUNITY,14.2770722101422,123076,Non-DAC
CA3710800,PUERTA LA CRUZ CC #14,SAN DIEGO,33.324262,-116.683145,Not At-Risk,6,27,STATE GOVERNMENT,COMMUNITY,15.7137792569062,53311,SDAC
CA3710802,LA CIMA FIRE CENTER,SAN DIEGO,32.938641,-116.536922,At-Risk,9,60,STATE GOVERNMENT,COMMUNITY,10.1707092147918,49688,SDAC
CA3810001,SAN FRANCISCO REGIONAL WATER SYSTEM,SAN FRANCISCO,37.780961,-122.419382,Not Assessed,256,600,LOCAL,COMMUNITY,25.825288533089,86037,Non-DAC
CA3810003,HHW&P MOCCASIN COMPOUND-SFPUC,SAN FRANCISCO,37.811244,-120.300413,Not At-Risk,89,410,LOCAL,COMMUNITY,15.2520658392789,64513,DAC
CA3810008,THOMAS SHAFT WHOLESALE,SAN JOAQUIN,37.527361,-121.52949,Not Assessed,1,1,LOCAL,COMMUNITY,22.0603294323257,154995,Non-DAC
CA3810011,SFPUC CITY DISTRIBUTION DIVISION,SAN FRANCISCO,37.75462,-122.442506,Not Assessed,171099,848019,LOCAL,COMMUNITY,17.9014918913827,138865,Non-DAC
CA3810700,PRESIDIO OF SAN FRANCISCO,SAN FRANCISCO,37.79761,-122.466502,Not At-Risk,1228,3500,FEDERAL GOVERNMENT,COMMUNITY,3.40880591010813,138870,Non-DAC
CA3810702,TREASURE ISLAND,SAN FRANCISCO,37.820753,-122.36953,At-Risk,186,3864,FEDERAL GOVERNMENT,COMMUNITY,50.6299007731743,84250,Non-DAC
CA3900504,CLEMENTS WATER WORKS #43,SAN JOAQUIN,38.189891,-121.092288,Not At-Risk,83,264,LOCAL,COMMUNITY,19.1903755035462,105996,Non-DAC
CA3900505,FARMINGTON WATER COMPANY,SAN JOAQUIN,37.93037,-121.00022,At-Risk,78,270,LOCAL,COMMUNITY,22.9699255530533,14500,SDAC
CA3900512,MORADA ACRES WATER SYSTEM,SAN JOAQUIN,38.033064,-121.248043,At-Risk,32,105,LOCAL,COMMUNITY,36.1243566778165,67378,DAC
CA3900517,ALMOND PARK WATER SYSTEM,SAN JOAQUIN,38.034755,-121.243043,At-Risk,20,60,LOCAL,COMMUNITY,36.1243566778165,66250,DAC
CA3900523,MORADA MANOR WATER SYSTEM,SAN JOAQUIN,38.038752,-121.25272,At-Risk,34,112,LOCAL,COMMUNITY,36.1243566778165,66250,DAC
CA3900543,MAURLAND MANOR WATER SYSTEM,SAN JOAQUIN,37.709137,-121.413692,Not At-Risk,28,92,LOCAL,COMMUNITY,38.0796846872528,112530,Non-DAC
CA3900558,RANCHO SAN JOAQUIN WATER SYS,SAN JOAQUIN,38.041791,-121.343838,Potentially At-Risk,52,172,LOCAL,COMMUNITY,25.4935079936509,74754,DAC
CA3900559,WINE COUNTRY APARTMENTS,SAN JOAQUIN,38.162063,-121.259011,Potentially At-Risk,16,40,PRIVATE,COMMUNITY,27.3614758394688,43913,SDAC
CA3900561,LODI LAKE MOBILE HOME PARK,SAN JOAQUIN,38.150968,-121.300903,Not At-Risk,54,104,PRIVATE,COMMUNITY,19.1609939647123,85682,Non-DAC
CA3900563,GAYLA MANOR PWS,SAN JOAQUIN,38.025928,-121.249678,At-Risk,54,178,LOCAL,COMMUNITY,36.1243566778165,72071,DAC
CA3900568,CARIBOU MOBILE PARK PWS,SAN JOAQUIN,37.994704,-121.246642,At-Risk,72,180,PRIVATE,COMMUNITY,34.4690699907279,51844,SDAC
CA3900569,EL RIO MOBILE HOME PARK,SAN JOAQUIN,37.918994,-121.227291,At-Risk,28,60,PRIVATE,COMMUNITY,56.5490359956016,37944,SDAC
CA3900579,CENTURY MOBILE HOME PARK,SAN JOAQUIN,37.898762,-121.219718,Failing,19,50,PRIVATE,COMMUNITY,56.4194126556268,28289,SDAC
CA3900586,B&G MOBILE HOME PARK LLC WS,SAN JOAQUIN,38.205295,-121.262251,At-Risk,22,50,PRIVATE,COMMUNITY,27.3614758394688,65819,DAC
CA3900596,VILLA CEREZOS,SAN JOAQUIN,38.09011,-121.257728,At-Risk,82,200,PRIVATE,COMMUNITY,37.8248870536802,56795,SDAC
CA3900602,TAHAMA VILLAGE MOBILE HOME PARK,SAN JOAQUIN,38.056205,-121.256648,Not At-Risk,68,200,PRIVATE,COMMUNITY,36.1243566778165,71024,DAC
CA3900606,A1 WINSTONS MOBILE HOME PARK,SAN JOAQUIN,37.92653,-121.230211,At-Risk,30,75,PRIVATE,COMMUNITY,56.5490359956016,37944,SDAC
CA3900607,COUNTRY SQUIRE MOBILE ESTATES & WATER SY,SAN JOAQUIN,37.995501,-121.24793,Potentially At-Risk,49,131,PRIVATE,COMMUNITY,34.4690699907279,51844,SDAC
CA3900624,IL VINETO,SAN JOAQUIN,38.077717,-121.285525,Not At-Risk,83,160,PRIVATE,COMMUNITY,37.8248870536802,85740,Non-DAC
CA3900637,BIG WHEEL MOBILE HOME PARK,SAN JOAQUIN,37.972618,-121.242654,At-Risk,63,120,PRIVATE,COMMUNITY,55.6627522892613,51167,SDAC
CA3900649,GLENWOOD MOBILE HOME PARK,SAN JOAQUIN,37.9905,-121.188569,At-Risk,50,100,PRIVATE,COMMUNITY,26.8363512678146,56866,SDAC
CA3900653,ISLANDER MARINA,SAN JOAQUIN,37.770608,-121.29018,Not At-Risk,75,150,PRIVATE,COMMUNITY,42.5745571611575,90322,Non-DAC
CA3900661,MAPACHE TRAILER PARK,SAN JOAQUIN,37.91513,-121.223816,At-Risk,99,275,PRIVATE,COMMUNITY,56.5490359956016,37944,SDAC
CA3900664,NEW HOPE LANDING GENERAL STORE,SAN JOAQUIN,38.227585,-121.491042,Potentially At-Risk,44,125,PRIVATE,COMMUNITY,44.2054108304126,45402,SDAC
CA3900682,LOCKEFORD MOBILE HOME PARK WTR SYS,SAN JOAQUIN,38.158536,-121.149733,Potentially At-Risk,43,123,PRIVATE,COMMUNITY,34.2643128860472,73393,DAC
CA3900701,CURRIER ESTATES WATER CORP,SAN JOAQUIN,37.74911,-121.509452,Potentially At-Risk,37,148,PRIVATE,COMMUNITY,29.4825690286895,85622,Non-DAC
CA3900702,CORRAL HOLLOW PWS,SAN JOAQUIN,37.718433,-121.45599,Potentially At-Risk,44,145,LOCAL,COMMUNITY,22.5336114513307,112530,Non-DAC
CA3900705,FINNLEES TRAILER PARK,SAN JOAQUIN,38.048014,-121.260137,At-Risk,26,55,PRIVATE,COMMUNITY,37.8248870536802,119325,Non-DAC
CA3900714,SUNNYSIDE ESTATES WATER SYSTEM,SAN JOAQUIN,38.102862,-121.305052,Not At-Risk,21,69,LOCAL,COMMUNITY,14.6406937756143,80209,Non-DAC
CA3900719,MOKELUMNE MOBILE SENIOR PARK,SAN JOAQUIN,38.156145,-121.296051,At-Risk,25,55,PRIVATE,COMMUNITY,27.3614758394688,34402,SDAC
CA3900720,SHADED TERRACE PWS,SAN JOAQUIN,38.026131,-121.246212,Not At-Risk,72,238,LOCAL,COMMUNITY,36.1243566778165,72071,DAC
CA3900722,MORADA ESTATES PWS,SAN JOAQUIN,38.040325,-121.255486,At-Risk,88,290,LOCAL,COMMUNITY,36.1243566778165,66250,DAC
CA3900724,ELKHORN ESTATES WATER SYSTEM,SAN JOAQUIN,38.051768,-121.331832,Potentially At-Risk,71,234,LOCAL,COMMUNITY,25.4958658628889,74754,DAC
CA3900732,V & P TRAILER COURT WATER SYSTEM,SAN JOAQUIN,37.927805,-121.232975,Failing,15,35,PRIVATE,COMMUNITY,50.5460709625601,45050,SDAC
CA3900733,COUNTRY CLUB VISTA MUTUAL WATER CO,SAN JOAQUIN,38.159048,-121.297727,Not At-Risk,31,75,PRIVATE,COMMUNITY,27.3614758394688,34402,SDAC
CA3900748,ESCALON USD- COLLEGEVILLE SCH,SAN JOAQUIN,37.906483,-121.147843,Not At-Risk,4,100,LOCAL,NON-TRANSIENT NON-COMMUNITY,41.8554600877335,62434,DAC
CA3900751,MARTINEZ APARTMENTS,SAN JOAQUIN,37.882143,-121.274243,Failing,9,26,PRIVATE,COMMUNITY,70.4214582438188,74486,DAC
CA3900755,SHADY REST TRAILER COURT,SAN JOAQUIN,37.994609,-121.171576,Failing,49,150,PRIVATE,COMMUNITY,26.8363512678146,56866,SDAC
CA3900756,LINDEN USD-GLENWOOD SCHOOL,SAN JOAQUIN,37.990813,-121.197299,Potentially At-Risk,1,100,LOCAL,NON-TRANSIENT NON-COMMUNITY,31.323587825202,53914,SDAC
CA3900757,LINDEN USD-WATERLOO ELEMENTARY,SAN JOAQUIN,38.0319,-121.194607,Not At-Risk,1,225,LOCAL,NON-TRANSIENT NON-COMMUNITY,26.8363512678146,56866,SDAC
CA3900762,RIVERSIDE MOBILE HOME PARK,SAN JOAQUIN,38.226906,-121.489671,At-Risk,58,55,PRIVATE,COMMUNITY,44.2054108304126,45402,SDAC
CA3900805,MOREHEAD PARK,SAN JOAQUIN,37.737022,-121.400559,Not At-Risk,115,300,PRIVATE,COMMUNITY,38.0796846872528,35892,SDAC
CA3900813,HAVEN ACRES RIVER CLUB INC,SAN JOAQUIN,37.849841,-121.321389,At-Risk,51,100,PRIVATE,COMMUNITY,48.0501909039552,106429,Non-DAC
CA3900831,ARBOR MOBILE HOME PARK WS,SAN JOAQUIN,38.162255,-121.258872,At-Risk,173,340,PRIVATE,COMMUNITY,27.3614758394688,43913,SDAC
CA3900835,WAYSIDE MOTEL APARTMENTS WTR SYS,SAN JOAQUIN,38.06708,-121.25893,At-Risk,25,70,PRIVATE,COMMUNITY,37.8248870536802,54420,SDAC
CA3900837,LODI HOMES,SAN JOAQUIN,38.157786,-121.260665,Potentially At-Risk,12,39,PRIVATE,COMMUNITY,27.3614758394688,43913,SDAC
CA3900842,DOUBLE L MOBILE ESTATES,SAN JOAQUIN,38.151807,-121.155078,Not At-Risk,150,320,PRIVATE,COMMUNITY,34.2643128860472,73393,DAC
CA3900844,COUNTRY MANOR MHP,SAN JOAQUIN,38.138786,-121.179586,Not At-Risk,41,75,PRIVATE,COMMUNITY,22.3867774727289,71689,DAC
CA3900846,OAK VIEW UNION ELEMENTARY SCH,SAN JOAQUIN,38.217567,-121.227894,Not At-Risk,1,350,LOCAL,NON-TRANSIENT NON-COMMUNITY,27.3614758394688,65819,DAC
CA3900848,LODI USD-TURNER ACADEMY AT TOKAY COLONY,SAN JOAQUIN,38.080047,-121.149389,Not At-Risk,2,166,LOCAL,NON-TRANSIENT NON-COMMUNITY,22.3867774727289,70566,DAC
CA3900849,LODI USD-LIVE OAK SCHOOL,SAN JOAQUIN,38.084705,-121.253469,Not At-Risk,1,100,LOCAL,NON-TRANSIENT NON-COMMUNITY,37.8248870536802,56795,SDAC
CA3900850,LODI USD-HOUSTON SCHOOL,SAN JOAQUIN,38.174065,-121.261093,Not At-Risk,4,405,LOCAL,NON-TRANSIENT NON-COMMUNITY,27.3614758394688,54461,SDAC
CA3900907,BEL AIR MOBILE ESTATE,SAN JOAQUIN,38.009288,-121.234535,Not At-Risk,117,325,PRIVATE,COMMUNITY,34.4690699907279,23542,SDAC
CA3900921,CARDOZA VILLA CORP,SAN JOAQUIN,37.713121,-121.26589,Not At-Risk,12,30,PRIVATE,COMMUNITY,38.0882948209979,100987,Non-DAC
CA3900927,SPRING CREEK ESTATES PWS,SAN JOAQUIN,37.745999,-121.108236,Not At-Risk,36,119,LOCAL,COMMUNITY,25.8474192837071,75098,DAC
CA3900964,SAHARA MOBILE COURT,SAN JOAQUIN,37.981655,-121.268771,At-Risk,162,300,PRIVATE,COMMUNITY,51.984212045193,35534,SDAC
CA3900978,SJ COUNTY-REDWOOD SCHOOL,SAN JOAQUIN,38.000969,-121.22996,At-Risk,1,83,LOCAL,NON-TRANSIENT NON-COMMUNITY,34.4690699907279,51844,SDAC
CA3900983,CHERRY LANE TRAILER PARK,SAN JOAQUIN,37.995032,-121.17052,At-Risk,43,100,PRIVATE,COMMUNITY,26.8363512678146,56866,SDAC
CA3900991,LA TORRES PARK,SAN JOAQUIN,37.743662,-121.46119,At-Risk,14,40,PRIVATE,COMMUNITY,22.5336114513307,112530,Non-DAC
CA3900993,NEW JERUSALEM SCHOOL,SAN JOAQUIN,37.667597,-121.324163,Not At-Risk,1,210,LOCAL,NON-TRANSIENT NON-COMMUNITY,27.9379318481989,74211,DAC
CA3901014,BANTA ELEMENTARY SCHOOL,SAN JOAQUIN,37.75636,-121.375162,Not At-Risk,1,200,LOCAL,NON-TRANSIENT NON-COMMUNITY,38.0796846872528,93140,Non-DAC
CA3901031,132 INVESTMENTS WATER SYSTEM,SAN JOAQUIN,37.635468,-121.289381,At-Risk,93,252,PRIVATE,COMMUNITY,27.9280547357529,40986,SDAC
CA3901032,LODI USD-TURNER ACADEMY,SAN JOAQUIN,38.146526,-121.371556,At-Risk,3,120,LOCAL,NON-TRANSIENT NON-COMMUNITY,27.4180804322688,100329,Non-DAC
CA3901074,TWIN OAKS MOBILE PARK,SAN JOAQUIN,38.066181,-121.261848,Not At-Risk,85,238,PRIVATE,COMMUNITY,37.8248870536802,54420,SDAC
CA3901075,FAIRWAY ESTATES PWS CSA-18,SAN JOAQUIN,38.165449,-121.307559,Potentially At-Risk,45,149,LOCAL,COMMUNITY,27.3614758394688,34402,SDAC
CA3901081,MOBILE VILLAS TRAILER PARK,SAN JOAQUIN,38.001963,-121.259965,Not At-Risk,36,130,PRIVATE,COMMUNITY,36.1243566778165,69049,DAC
CA3901085,LODI USD-DAVIS SCHOOL,SAN JOAQUIN,38.035833,-121.247566,Potentially At-Risk,1,630,LOCAL,NON-TRANSIENT NON-COMMUNITY,36.1243566778165,81604,Non-DAC
CA3901090,NORTH VALLEY SCHOOL PWS,SAN JOAQUIN,38.093409,-121.18373,Potentially At-Risk,1,35,PRIVATE,NON-TRANSIENT NON-COMMUNITY,22.3867774727289,79866,Non-DAC
CA3901092,SAN JOAQUIN WATER WORKS #2,SAN JOAQUIN,38.137724,-121.205658,Not At-Risk,94,310,LOCAL,COMMUNITY,23.7361957206746,30446,SDAC
CA3901107,JEFFERSON ESD-JEFFERSON SCHOOL,SAN JOAQUIN,37.695101,-121.39788,Not At-Risk,1,60,LOCAL,NON-TRANSIENT NON-COMMUNITY,27.9810441127748,134108,Non-DAC
CA3901113,WALNUT ACRES,SAN JOAQUIN,37.998568,-121.243827,At-Risk,32,106,LOCAL,COMMUNITY,34.4690699907279,51844,SDAC
CA3901114,KING ISLAND TRAILER PARK WATER SYSTEM,SAN JOAQUIN,38.056938,-121.456537,At-Risk,76,236,PRIVATE,COMMUNITY,44.2054108304126,45402,SDAC
CA3901159,WILKINSON MANOR A-ZONE PWS,SAN JOAQUIN,38.048713,-121.250414,Potentially At-Risk,38,125,LOCAL,COMMUNITY,36.1243566778165,71024,DAC
CA3901163,MUSD-NEW HAVEN SCHOOL,SAN JOAQUIN,37.830756,-121.185064,Failing,3,300,LOCAL,NON-TRANSIENT NON-COMMUNITY,56.4194126556268,71952,DAC
CA3901167,EUSD-VAN ALLEN SCHOOL,SAN JOAQUIN,37.799461,-121.051569,Potentially At-Risk,1,200,LOCAL,NON-TRANSIENT NON-COMMUNITY,30.3781807897766,59531,DAC
CA3901172,PAR COUNTRY ESTATES CSA-16,SAN JOAQUIN,37.635903,-121.402939,Not At-Risk,54,178,LOCAL,COMMUNITY,27.9597195557364,147500,Non-DAC
CA3901209,ST MARYS HIGH SCHOOL,SAN JOAQUIN,38.003641,-121.306297,Potentially At-Risk,11,950,PRIVATE,NON-TRANSIENT NON-COMMUNITY,42.6044910747321,74754,DAC
CA3901213,SUNNY ROAD WATER SYSTEM,SAN JOAQUIN,37.8986,-121.217662,Failing,12,34,PRIVATE,COMMUNITY,56.4194126556268,28289,SDAC
CA3901215,SAN JUAN VISTA,SAN JOAQUIN,37.964652,-121.254704,At-Risk,72,201,PRIVATE,COMMUNITY,57.2298939005941,74754,DAC
CA3901216,SANTOS RANCH PWS #5-CSA #35,SAN JOAQUIN,37.747886,-121.519028,Not At-Risk,97,320,LOCAL,COMMUNITY,29.4380130980592,133617,Non-DAC
CA3901217,HAYNES BOARD & CARE HOME,SAN JOAQUIN,38.141074,-121.135235,At-Risk,15,41,PRIVATE,COMMUNITY,22.3867774727289,79866,Non-DAC
